#nr_of_threads	LLC-miss%	error
#manol-pipe-c10b.cnf
1		3.4		4.83
2		9.6		8.23
3		15.35		5.12
4		17.7		5.32
5		21.17		4.41
6		29.24		2.52
#manol-pipe-c6bid_i.cnf.gz
1		12.07		0.38
2		17.94		7.11
3		21.12		0.12
4		25.66		3.21
5		28.32		0.96
6		43.27		1.27
#manol-pipe-c6nidw_i.cnf
1		13.45		0.25
2		19.45		6.43
3		22.61		0.08
4		26.39		0.07
5		29.51		0.08
6		43.67		1.76
#manol-pipe-c7idw.cnf.gz
1		15.3		0.41
2		22.35		6.24
3		22.88		0.07
4		25.22		0.05
5		27.18		0.06
6		36.35		4.5
#manol-pipe-cha05-113.cnf.gz
1		2.45		5.96
2		8.54		0.76
3		12.96		8.2
4		15.27		5.89
5		16.78		2.44
6		24.2		2.79
#anbul-dated-5-15-u
1		6.46		9.08
2		15.0		9.14
3		28.9		7.91
4		33.85		3.83
5		37.93		1.97
6		49.21		1.67
#ibm-2002-31_1r3-k30
1		11.82		2.45
2		23.29		0.79
3		25.09		4.1
4		31.68		4.84
5		31.93		3.1
6		42.49		2.06
#post-c32s-gcdm16-22
1		13.22		0.29
2		19.81		9.03
3		27.34		3.22
4		30.98		1.84
5		30.67		3.59
6		39.51		1.52
